Title,Release Year,Certificate,Genres,IMDB Rating,Votes,Gross Revenue,genre_pull
Jumanji: The Next Level,(2019),PG-13,"
Action, Adventure, Comedy            ","

6.7
","233,431",$316.83M,comedy
Thor: Ragnarok,(2017),PG-13,"
Action, Adventure, Comedy            ","

7.9
","684,518",$315.06M,comedy
Up,(2009),PG,"
Animation, Adventure, Comedy            ","

8.3
","1,003,938",$293.00M,comedy
"Monsters, Inc.",(2001),G,"
Animation, Adventure, Comedy            ","

8.1
","874,567",$289.92M,comedy
Home Alone,(1990),PG,"
Comedy, Family            ","

7.7
","548,888",$285.76M,comedy
Meet the Fockers,(2004),PG-13,"
Comedy, Romance            ","

6.3
","265,791",$279.26M,comedy
The Hangover,(2009),R,"
Comedy            ","

7.7
","761,203",$277.32M,comedy
The Grinch,(2018),PG,"
Animation, Adventure, Comedy            ","

6.3
","67,348",$270.62M,comedy
Sing,(2016),PG,"
Animation, Comedy, Family            ","

7.1
","159,068",$270.40M,comedy
Monsters University,(2013),G,"
Animation, Adventure, Comedy            ","

7.3
","346,875",$268.49M,comedy
Shrek,(2001),PG,"
Animation, Adventure, Comedy            ","

7.9
","653,387",$267.67M,comedy
Despicable Me 3,(2017),PG,"
Animation, Adventure, Comedy            ","

6.3
","127,541",$264.62M,comedy
How the Grinch Stole Christmas,(2000),PG,"
Comedy, Family, Fantasy            ","

6.2
","238,821",$260.04M,comedy
The Lego Movie,(2014),PG,"
Animation, Action, Adventure            ","

7.7
","342,725",$257.76M,comedy
The Hangover Part II,(2011),R,"
Comedy            ","

6.5
","487,507",$254.46M,comedy
Despicable Me,(2010),PG,"
Animation, Adventure, Comedy            ","

7.6
","529,088",$251.51M,comedy
Night at the Museum,(2006),PG,"
Adventure, Comedy, Family            ","

6.4
","336,675",$250.86M,comedy
Men in Black,(1997),PG-13,"
Action, Adventure, Comedy            ","

7.3
","549,506",$250.69M,comedy
Moana,(I) (2016),PG,"
Animation, Adventure, Comedy            ","

7.6
","314,708",$248.76M,comedy
Toy Story 2,(1999),G,"
Animation, Adventure, Comedy            ","

7.9
","561,328",$245.85M,comedy
Cars,(2006),G,"
Animation, Adventure, Comedy            ","

7.2
","400,760",$244.08M,comedy
Bruce Almighty,(2003),PG-13,"
Comedy, Fantasy            ","

6.8
","392,245",$242.83M,comedy
My Big Fat Greek Wedding,(2002),PG,"
Comedy, Drama, Romance            ","

6.6
","128,376",$241.44M,comedy
Ghostbusters,(1984),PG,"
Action, Comedy, Fantasy            ","

7.8
","401,276",$238.63M,comedy
Shrek Forever After,(2010),PG,"
Animation, Adventure, Comedy            ","

6.3
","198,074",$238.37M,comedy
Brave,(2012),PG,"
Animation, Adventure, Comedy            ","

7.1
","398,289",$237.28M,comedy
Beverly Hills Cop,(1984),R,"
Action, Comedy, Crime            ","

7.4
","178,550",$234.76M,comedy
Rush Hour 2,(2001),PG-13,"
Action, Comedy, Crime            ","

6.6
","213,368",$226.16M,comedy
Big Hero 6,(2014),PG,"
Animation, Action, Adventure            ","

7.8
","443,167",$222.53M,comedy
Alvin and the Chipmunks: The Squeakquel,(2009),PG,"
Animation, Adventure, Comedy            ","

4.5
","47,758",$219.61M,comedy
Mrs. Doubtfire,(1993),PG-13,"
Comedy, Drama            ","

7.1
","262,462",$219.20M,comedy
Ted,(2012),R,"
Comedy            ","

6.9
","597,763",$218.82M,comedy
How to Train Your Dragon,(2010),PG,"
Animation, Action, Adventure            ","

8.1
","712,455",$217.58M,comedy
Aladdin,(1992),G,"
Animation, Adventure, Comedy            ","

8.1
","396,628",$217.35M,comedy
Alvin and the Chipmunks,(2007),PG,"
Animation, Adventure, Comedy            ","

5.2
","83,172",$217.33M,comedy
Ant-Man and the Wasp,(2018),PG-13,"
Action, Adventure, Comedy            ","

7.0
","370,974",$216.65M,comedy
Madagascar 3: Europe's Most Wanted,(2012),PG,"
Animation, Adventure, Comedy            ","

6.8
","175,785",$216.39M,comedy
Kung Fu Panda,(2008),PG,"
Animation, Action, Adventure            ","

7.6
","450,946",$215.43M,comedy
The Lorax,(2012),PG,"
Animation, Adventure, Comedy            ","

6.4
","108,544",$214.03M,comedy
Austin Powers in Goldmember,(2002),PG-13,"
Action, Adventure, Comedy            ","

6.2
","205,704",$213.31M,comedy
Back to the Future,(1985),PG,"
Adventure, Comedy, Sci-Fi            ","

8.6
","1,148,170",$210.61M,comedy
Coco,(I) (2017),PG,"
Animation, Adventure, Comedy            ","

8.4
","466,171",$209.73M,comedy
Wedding Crashers,(2005),R,"
Comedy, Romance            ","

7.0
","348,049",$209.22M,comedy
Charlie and the Chocolate Factory,(2005),PG,"
Adventure, Comedy, Family            ","

6.7
","461,342",$206.46M,comedy
Ratatouille,(2007),G,"
Animation, Adventure, Comedy            ","

8.1
","690,398",$206.45M,comedy
Bad Boys for Life,(2020),R,"
Action, Comedy, Crime            ","

6.5
","153,100",$206.31M,comedy
Austin Powers: The Spy Who Shagged Me,(1999),PG-13,"
Action, Adventure, Comedy            ","

6.6
","228,319",$206.04M,comedy
Ralph Breaks the Internet,(2018),PG,"
Animation, Adventure, Comedy            ","

7.0
","151,987",$201.09M,comedy
Tangled,(2010),PG,"
Animation, Adventure, Comedy            ","

7.8
","435,815",$200.82M,comedy
Monsters vs. Aliens,(2009),PG,"
Animation, Action, Adventure            ","

6.5
","157,698",$198.35M,comedy
Happy Feet,(2006),PG,"
Animation, Adventure, Comedy            ","

6.4
","181,249",$198.00M,comedy
Ice Age: Dawn of the Dinosaurs,(2009),PG,"
Animation, Adventure, Comedy            ","

6.9
","238,753",$196.57M,comedy
Ice Age: The Meltdown,(2006),PG,"
Animation, Adventure, Comedy            ","

6.8
","271,530",$195.33M,comedy
Madagascar,(2005),PG,"
Animation, Adventure, Comedy            ","

6.9
","390,330",$193.60M,comedy
Toy Story,(1995),G,"
Animation, Adventure, Comedy            ","

8.3
","953,773",$191.80M,comedy
22 Jump Street,(2014),R,"
Action, Comedy, Crime            ","

7.0
","366,700",$191.72M,comedy
Cars 2,(2011),G,"
Animation, Adventure, Comedy            ","

6.2
","178,921",$191.45M,comedy
Teenage Mutant Ninja Turtles,(2014),PG-13,"
Action, Adventure, Comedy            ","

5.8
","208,067",$191.20M,comedy
Men in Black II,(2002),PG-13,"
Action, Adventure, Comedy            ","

6.1
","364,325",$190.42M,comedy
Spider-Man: Into the Spider-Verse,(2018),PG,"
Animation, Action, Adventure            ","

8.4
","475,560",$190.24M,comedy
Wreck-It Ralph,(2012),PG,"
Animation, Adventure, Comedy            ","

7.7
","407,516",$189.42M,comedy
Grease,(1978),PG,"
Comedy, Musical, Romance            ","

7.2
","260,979",$188.76M,comedy
The Croods,(2013),PG,"
Animation, Adventure, Comedy            ","

7.2
","208,480",$187.17M,comedy
Mr. & Mrs. Smith,(2005),PG-13,"
Action, Comedy, Crime            ","

6.5
","479,668",$186.34M,comedy
Pitch Perfect 2,(2015),PG-13,"
Comedy, Music            ","

6.4
","152,828",$184.30M,comedy
The Polar Express,(2004),G,"
Animation, Adventure, Comedy            ","

6.6
","200,055",$183.37M,comedy
The Simpsons Movie,(2007),PG-13,"
Animation, Adventure, Comedy            ","

7.3
","323,089",$183.14M,comedy
What Women Want,(2000),PG-13,"
Comedy, Fantasy, Romance            ","

6.4
","204,207",$182.81M,comedy
Liar Liar,(1997),PG-13,"
Comedy, Fantasy            ","

6.9
","299,887",$181.41M,comedy
Ant-Man,(2015),PG-13,"
Action, Adventure, Comedy            ","

7.3
","633,416",$180.20M,comedy
Madagascar: Escape 2 Africa,(2008),PG,"
Animation, Adventure, Comedy            ","

6.7
","220,303",$180.01M,comedy
Hitch,(I) (2005),PG-13,"
Comedy, Romance            ","

6.7
","310,982",$179.50M,comedy
Men in Black 3,(2012),PG-13,"
Action, Adventure, Comedy            ","

6.8
","353,382",$179.02M,comedy
Pretty Woman,(1990),R,"
Comedy, Romance            ","

7.1
","313,196",$178.41M,comedy
Home,(II) (2015),PG,"
Animation, Adventure, Comedy            ","

6.6
","99,804",$177.40M,comedy
Night at the Museum: Battle of the Smithsonian,(2009),PG,"
Adventure, Comedy, Family            ","

6.0
","190,696",$177.24M,comedy
Tootsie,(1982),PG,"
Comedy, Drama, Romance            ","

7.4
","104,167",$177.20M,comedy
How to Train Your Dragon 2,(2014),PG,"
Animation, Action, Adventure            ","

7.8
","324,565",$177.00M,comedy
There's Something About Mary,(1998),R,"
Comedy, Romance            ","

7.1
","305,574",$176.48M,comedy
Ice Age,(2002),PG,"
Animation, Adventure, Comedy            ","

7.5
","469,253",$176.39M,comedy
The Lego Batman Movie,(2017),PG,"
Animation, Action, Adventure            ","

7.3
","142,741",$175.75M,comedy
The Boss Baby,(2017),PG,"
Animation, Adventure, Comedy            ","

6.3
","121,671",$175.00M,comedy
Crocodile Dundee,(1986),PG-13,"
Action, Adventure, Comedy            ","

6.6
","102,591",$174.64M,comedy
Crazy Rich Asians,(2018),PG-13,"
Comedy, Drama, Romance            ","

6.9
","164,018",$174.53M,comedy
Home Alone 2: Lost in New York,(1992),PG,"
Adventure, Comedy, Crime            ","

6.8
","342,515",$173.59M,comedy
Elf,(2003),PG,"
Adventure, Comedy, Family            ","

7.0
","259,643",$173.40M,comedy
Mary Poppins Returns,(2018),PG,"
Adventure, Comedy, Family            ","

6.7
","85,791",$171.96M,comedy
Tarzan,(1999),G,"
Animation, Adventure, Comedy            ","

7.3
","218,727",$171.09M,comedy
Chicago,(2002),PG-13,"
Comedy, Crime, Musical            ","

7.2
","226,200",$170.69M,comedy
Hotel Transylvania 2,(2015),PG,"
Animation, Adventure, Comedy            ","

6.7
","122,182",$169.70M,comedy
Bridesmaids,(I) (2011),R,"
Comedy, Romance            ","

6.8
","285,870",$169.11M,comedy
Wild Hogs,(2007),PG-13,"
Action, Adventure, Comedy            ","

5.9
","117,530",$168.27M,comedy
Three Men and a Baby,(1987),PG,"
Comedy, Drama, Family            ","

6.1
","52,471",$167.78M,comedy
Hotel Transylvania 3: Summer Vacation,(2018),PG,"
Animation, Adventure, Comedy            ","

6.3
","69,931",$167.51M,comedy
Meet the Parents,(2000),PG-13,"
Comedy, Romance            ","

7.0
","327,320",$166.24M,comedy
Knives Out,(2019),PG-13,"
Comedy, Crime, Drama            ","

7.9
","577,398",$165.36M,comedy
Kung Fu Panda 2,(2011),PG,"
Animation, Action, Adventure            ","

7.2
","273,702",$165.25M,comedy
The Proposal,(I) (2009),PG-13,"
Comedy, Drama, Romance            ","

6.7
","317,775",$163.96M,comedy
Big Daddy,(1999),PG-13,"
Comedy, Drama            ","

6.4
","211,726",$163.48M,comedy
The SpongeBob Movie: Sponge Out of Water,(2015),PG,"
Animation, Adventure, Comedy            ","

6.0
","53,791",$162.99M,comedy
A Bug's Life,(1998),G,"
Animation, Adventure, Comedy            ","

7.2
","284,075",$162.80M,comedy
Grown Ups,(I) (2010),PG-13,"
Comedy            ","

5.9
","244,509",$162.00M,comedy
The Waterboy,(1998),PG-13,"
Comedy, Sport            ","

6.1
","159,638",$161.49M,comedy
Ice Age: Continental Drift,(2012),PG,"
Animation, Adventure, Comedy            ","

6.5
","204,095",$161.32M,comedy
Shark Tale,(2004),PG,"
Animation, Adventure, Comedy            ","

6.0
","178,155",$160.86M,comedy
How to Train Your Dragon: The Hidden World,(2019),PG,"
Animation, Action, Adventure            ","

7.4
","120,921",$160.80M,comedy
The Sting,(1973),PG,"
Comedy, Crime, Drama            ","

8.3
","255,513",$159.60M,comedy
The Heat,(I) (2013),R,"
Action, Comedy, Crime            ","

6.6
","169,278",$159.58M,comedy
The Secret Life of Pets 2,(2019),PG,"
Animation, Adventure, Comedy            ","

6.5
","59,410",$158.87M,comedy
The Longest Yard,(2005),PG-13,"
Comedy, Crime, Sport            ","

6.4
","174,880",$158.12M,comedy
Scary Movie,(2000),R,"
Comedy            ","

6.2
","252,592",$157.02M,comedy
Who Framed Roger Rabbit,(1988),PG,"
Animation, Adventure, Comedy            ","

7.7
","195,263",$156.45M,comedy
Over the Hedge,(2006),PG,"
Animation, Adventure, Comedy            ","

6.7
","170,624",$155.02M,comedy
Horton Hears a Who!,(2008),G,"
Animation, Adventure, Comedy            ","

6.8
","137,282",$154.53M,comedy
Jerry Maguire,(1996),R,"
Comedy, Drama, Romance            ","

7.3
","258,066",$153.95M,comedy
Trolls,(2016),PG,"
Animation, Adventure, Comedy            ","

6.5
","79,255",$153.71M,comedy
Beverly Hills Cop II,(1987),R,"
Action, Comedy, Crime            ","

6.5
","116,936",$153.67M,comedy
Scooby-Doo,(2002),PG,"
Adventure, Comedy, Family            ","

5.2
","108,754",$153.29M,comedy
Cars 3,(2017),G,"
Animation, Adventure, Comedy            ","

6.7
","91,174",$152.90M,comedy
Sex and the City,(2008),R,"
Comedy, Drama, Romance            ","

5.7
","121,069",$152.65M,comedy
Runaway Bride,(1999),PG,"
Comedy, Romance            ","

5.6
","97,417",$152.26M,comedy
La La Land,(2016),PG-13,"
Comedy, Drama, Music            ","

8.0
","558,645",$151.10M,comedy
We're the Millers,(2013),R,"
Comedy, Crime            ","

7.0
","434,706",$150.39M,comedy
Daddy's Home,(2015),PG-13,"
Comedy, Family            ","

6.1
","117,293",$150.36M,comedy
Neighbors,(I) (2014),R,"
Comedy            ","

6.3
","303,917",$150.16M,comedy
Puss in Boots,(2011),PG,"
Animation, Adventure, Comedy            ","

6.6
","154,349",$149.26M,comedy
Sonic the Hedgehog,(2020),PG,"
Action, Adventure, Comedy            ","

6.5
","115,565",$148.97M,comedy
Knocked Up,(2007),R,"
Comedy, Romance            ","

7.0
","363,929",$148.73M,comedy
As Good as It Gets,(1997),PG-13,"
Comedy, Drama, Romance            ","

7.7
","292,899",$148.48M,comedy
Megamind,(2010),PG,"
Animation, Action, Comedy            ","

7.3
","249,539",$148.42M,comedy
Little Fockers,(2010),PG-13,"
Comedy, Romance            ","

5.5
","111,254",$148.38M,comedy
Hotel Transylvania,(2012),PG,"
Animation, Comedy, Family            ","

7.1
","246,699",$148.31M,comedy
Talladega Nights: The Ballad of Ricky Bobby,(2006),PG-13,"
Comedy, Sport            ","

6.6
","179,805",$148.21M,comedy
Gremlins,(1984),PG,"
Comedy, Fantasy, Horror            ","

7.3
","217,091",$148.17M,comedy
True Lies,(1994),R,"
Action, Comedy, Thriller            ","

7.3
","252,167",$146.28M,comedy
Lilo & Stitch,(2002),PG,"
Animation, Adventure, Comedy            ","

7.3
","182,978",$145.79M,comedy
American Pie 2,(2001),R,"
Comedy            ","

6.4
","251,008",$145.10M,comedy
One Hundred and One Dalmatians,(1961),G,"
Animation, Adventure, Comedy            ","

7.3
","163,588",$144.88M,comedy
The Santa Clause,(1994),PG,"
Comedy, Drama, Family            ","

6.5
","113,197",$144.83M,comedy
Doctor Dolittle,(1998),PG-13,"
Comedy, Family, Fantasy            ","

5.4
","96,101",$144.16M,comedy
Mamma Mia!,(2008),PG-13,"
Comedy, Musical, Romance            ","

6.5
","235,146",$144.13M,comedy
Pokémon Detective Pikachu,(2019),PG,"
Action, Adventure, Comedy            ","

6.6
","155,142",$144.11M,comedy
Rio,(2011),G,"
Animation, Adventure, Comedy            ","

6.9
","221,073",$143.62M,comedy
Kung Fu Panda 3,(2016),PG,"
Animation, Action, Adventure            ","

7.1
","150,423",$143.53M,comedy
Juno,(2007),PG-13,"
Comedy, Drama            ","

7.5
","511,065",$143.50M,comedy
Marley & Me,(2008),PG,"
Comedy, Drama, Family            ","

7.1
","155,232",$143.15M,comedy
The Smurfs,(2011),PG,"
Animation, Adventure, Comedy            ","

5.4
","88,665",$142.61M,comedy
Once Upon a Time... In Hollywood,(2019),R,"
Comedy, Drama            ","

7.6
","674,504",$142.50M,comedy
The Jungle Book,(1967),G,"
Animation, Adventure, Comedy            ","

7.6
","177,154",$141.84M,comedy
Rush Hour,(1998),PG-13,"
Action, Comedy, Crime            ","

7.0
","258,732",$141.15M,comedy
Shazam!,(2019),PG-13,"
Action, Adventure, Comedy            ","

7.0
","311,836",$140.37M,comedy
Ocean's Eight,(2018),PG-13,"
Action, Comedy, Crime            ","

6.3
","209,592",$140.22M,comedy
Rush Hour 3,(2007),PG-13,"
Action, Comedy, Crime            ","

6.2
","163,537",$140.13M,comedy
Look Who's Talking,(1989),PG-13,"
Comedy            ","

5.9
","81,535",$140.09M,comedy
Stuart Little,(1999),PG,"
Adventure, Comedy, Family            ","

6.0
","132,030",$140.04M,comedy
The Rocky Horror Picture Show,(1975),R,"
Comedy, Horror, Musical            ","

7.4
","146,554",$139.88M,comedy
Sister Act,(1992),PG,"
Comedy, Family, Music            ","

6.5
","96,306",$139.61M,comedy
The Santa Clause 2,(2002),G,"
Comedy, Family, Fantasy            ","

5.7
","56,275",$139.24M,comedy
Cheaper by the Dozen,(2003),PG,"
Comedy, Family            ","

5.9
","99,911",$138.61M,comedy
Bad Boys II,(2003),R,"
Action, Comedy, Crime            ","

6.6
","245,034",$138.61M,comedy
21 Jump Street,(2012),R,"
Action, Comedy, Crime            ","

7.2
","542,211",$138.45M,comedy
A Christmas Carol,(2009),PG,"
Animation, Adventure, Comedy            ","

6.8
","112,473",$137.86M,comedy
Click,(2006),PG-13,"
Comedy, Drama, Fantasy            ","

6.4
","322,864",$137.36M,comedy
101 Dalmatians,(1996),G,"
Adventure, Comedy, Crime            ","

5.7
","109,615",$136.19M,comedy
Anger Management,(2003),PG-13,"
Comedy            ","

6.2
","212,125",$135.65M,comedy
Chicken Little,(2005),G,"
Animation, Adventure, Comedy            ","

5.7
","90,688",$135.39M,comedy
Teenage Mutant Ninja Turtles,(1990),PG,"
Action, Adventure, Comedy            ","

6.8
","91,945",$135.27M,comedy
Patch Adams,(1998),PG-13,"
Biography, Comedy, Drama            ","

6.8
","111,623",$135.03M,comedy
Ride Along,(2014),PG-13,"
Action, Comedy, Crime            ","

6.1
","111,478",$134.94M,comedy
Identity Thief,(2013),R,"
Comedy, Crime, Drama            ","

5.7
","131,537",$134.51M,comedy
Grown Ups 2,(2013),PG-13,"
Comedy            ","

5.3
","150,086",$133.67M,comedy
Alvin and the Chipmunks: Chipwrecked,(2011),G,"
Animation, Adventure, Comedy            ","

4.3
","34,439",$133.11M,comedy
Bringing Down the House,(2003),PG-13,"
Comedy            ","

5.6
","36,671",$132.72M,comedy
Silver Linings Playbook,(2012),R,"
Comedy, Drama, Romance            ","

7.7
","694,375",$132.09M,comedy
Rio 2,(2014),G,"
Animation, Adventure, Comedy            ","

6.3
","87,615",$131.54M,comedy
"Honey, I Shrunk the Kids",(1989),PG,"
Adventure, Comedy, Family            ","

6.4
","151,403",$130.72M,comedy
The Flintstones,(1994),PG,"
Comedy, Family, Fantasy            ","

4.9
","80,174",$130.51M,comedy
Get Smart,(2008),PG-13,"
Action, Adventure, Comedy            ","

6.5
","214,119",$130.32M,comedy
The Peanuts Movie,(2015),G,"
Animation, Adventure, Comedy            ","

7.0
","45,078",$130.18M,comedy
The Nutty Professor,(1996),PG-13,"
Comedy, Romance, Sci-Fi            ","

5.7
","115,483",$128.81M,comedy
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),R,"
Comedy            ","

7.4
","397,867",$128.51M,comedy
Ghostbusters: Answer the Call,(2016),PG-13,"
Action, Comedy, Fantasy            ","

6.9
","224,833",$128.34M,comedy
Kingsman: The Secret Service,(2014),R,"
Action, Adventure, Comedy            ","

7.7
","644,216",$128.26M,comedy
Robots,(2005),PG,"
Animation, Adventure, Comedy            ","

6.4
","142,673",$128.20M,comedy
Coming to America,(1988),R,"
Comedy, Romance            ","

7.1
","203,224",$128.15M,comedy
Into the Woods,(2014),PG,"
Adventure, Comedy, Drama            ","

5.9
","138,909",$128.00M,comedy
Enchanted,(2007),PG,"
Animation, Adventure, Comedy            ","

7.1
","193,451",$127.81M,comedy
Central Intelligence,(2016),PG-13,"
Action, Comedy, Crime            ","

6.3
","181,122",$127.44M,comedy
Anchorman 2: The Legend Continues,(2013),PG-13,"
Comedy            ","

6.3
","177,911",$127.35M,comedy
Sweet Home Alabama,(2002),PG-13,"
Comedy, Romance            ","

6.2
","110,513",$127.22M,comedy
Dumb and Dumber,(1994),PG-13,"
Comedy            ","

7.3
","374,314",$127.18M,comedy
My Best Friend's Wedding,(1997),PG-13,"
Comedy, Drama, Romance            ","

6.3
","139,139",$127.12M,comedy
Smokey and the Bandit,(1977),PG,"
Action, Adventure, Comedy            ","

7.0
","49,369",$126.74M,comedy
Bee Movie,(2007),PG,"
Animation, Adventure, Comedy            ","

6.1
","156,156",$126.63M,comedy
Sleepless in Seattle,(1993),PG,"
Comedy, Drama, Romance            ","

6.8
","171,934",$126.53M,comedy
Mr. Deeds,(2002),PG-13,"
Comedy, Romance            ","

5.8
","142,354",$126.29M,comedy
The Truman Show,(1998),PG,"
Comedy, Drama            ","

8.2
","1,023,158",$125.62M,comedy
Charlie's Angels,(2000),PG-13,"
Action, Adventure, Comedy            ","

5.6
","184,777",$125.31M,comedy
Cloudy with a Chance of Meatballs,(2009),PG,"
Animation, Adventure, Comedy            ","

7.0
","223,518",$124.87M,comedy
The Devil Wears Prada,(2006),PG-13,"
Comedy, Drama            ","

6.9
","402,395",$124.74M,comedy
Something's Gotta Give,(2003),PG-13,"
Comedy, Drama, Romance            ","

6.7
","119,336",$124.73M,comedy
The Birdcage,(1996),R,"
Comedy            ","

7.2
","87,205",$124.06M,comedy
City Slickers,(1991),PG-13,"
Comedy, Western            ","

6.8
","55,191",$124.03M,comedy
"Good Morning, Vietnam",(1987),R,"
Biography, Comedy, Drama            ","

7.3
","136,701",$123.92M,comedy
Rango,(2011),PG,"
Animation, Action, Adventure            ","

7.2
","255,199",$123.48M,comedy
Nutty Professor II: The Klumps,(2000),PG-13,"
Comedy, Romance, Sci-Fi            ","

4.4
","50,535",$123.31M,comedy
The Good Dinosaur,(2015),PG,"
Animation, Adventure, Comedy            ","

6.7
","111,401",$123.09M,comedy
Wayne's World,(1992),PG-13,"
Comedy, Music            ","

7.0
","153,634",$121.70M,comedy
Free Guy,(2021),PG-13,"
Action, Adventure, Comedy            ","

7.2
","300,567",$121.63M,comedy
Superbad,(2007),R,"
Comedy            ","

7.6
","557,608",$121.46M,comedy
50 First Dates,(2004),PG-13,"
Comedy, Drama, Romance            ","

6.8
","346,089",$120.91M,comedy
Mamma Mia! Here We Go Again,(2018),PG-13,"
Comedy, Musical, Romance            ","

6.6
","90,851",$120.63M,comedy
Mulan,(1998),G,"
Animation, Adventure, Comedy            ","

7.6
","276,914",$120.62M,comedy
Four Christmases,(2008),PG-13,"
Comedy, Drama, Romance            ","

5.7
","71,452",$120.15M,comedy
I Now Pronounce You Chuck & Larry,(2007),PG-13,"
Comedy, Romance            ","

5.9
","145,961",$120.06M,comedy
The Mask,(1994),PG-13,"
Action, Comedy, Crime            ","

6.9
","372,748",$119.94M,comedy
Cloudy with a Chance of Meatballs 2,(2013),PG,"
Animation, Adventure, Comedy            ","

6.4
","99,447",$119.79M,comedy
Hook,(1991),PG,"
Adventure, Comedy, Family            ","

6.8
","248,489",$119.65M,comedy
Blazing Saddles,(1974),R,"
Comedy, Western            ","

7.7
","135,313",$119.50M,comedy
G-Force,(2009),PG,"
Animation, Action, Adventure            ","

5.1
","45,727",$119.44M,comedy
The Other Guys,(2010),PG-13,"
Action, Comedy, Crime            ","

6.6
","260,280",$119.22M,comedy
Hairspray,(2007),PG,"
Comedy, Drama, Musical            ","

6.8
","127,349",$118.87M,comedy
The Break-Up,(2006),PG-13,"
Comedy, Drama, Romance            ","

5.8
","130,934",$118.70M,comedy
A Series of Unfortunate Events,(2004),PG,"
Adventure, Comedy, Family            ","

6.8
","205,376",$118.63M,comedy
Blades of Glory,(2007),PG-13,"
Comedy, Sport            ","

6.3
","166,420",$118.59M,comedy
Back to the Future Part II,(1989),PG,"
Adventure, Comedy, Sci-Fi            ","

7.9
","513,853",$118.50M,comedy
Big Momma's House,(2000),PG-13,"
Action, Comedy, Crime            ","

5.2
","84,569",$117.56M,comedy
Horrible Bosses,(2011),R,"
Comedy, Crime            ","

6.9
","439,923",$117.54M,comedy
The Wolf of Wall Street,(2013),R,"
Biography, Comedy, Crime            ","

8.2
","1,321,991",$116.90M,comedy
Notting Hill,(1999),PG-13,"
Comedy, Drama, Romance            ","

7.2
","300,094",$116.09M,comedy
Incredibles 2,(2018),PG,"
Animation, Action, Adventure            ","

7.6
","280,820",$608.58M,family
The Lion King,(2019),PG,"
Animation, Adventure, Drama            ","

6.9
","234,729",$543.64M,family
Beauty and the Beast,(I) (2017),PG,"
Adventure, Family, Fantasy            ","

7.1
","298,000",$504.01M,family
Finding Dory,(2016),PG,"
Animation, Adventure, Comedy            ","

7.3
","264,109",$486.30M,family
Frozen II,(2019),PG,"
Animation, Adventure, Comedy            ","

6.8
","161,851",$477.37M,family
Shrek 2,(2004),PG,"
Animation, Adventure, Comedy            ","

7.3
","447,248",$436.47M,family
E.T. the Extra-Terrestrial,(1982),PG,"
Adventure, Family, Sci-Fi            ","

7.9
","395,904",$435.11M,family
Toy Story 4,(2019),G,"
Animation, Adventure, Comedy            ","

7.7
","234,321",$434.04M,family
The Lion King,(1994),G,"
Animation, Adventure, Drama            ","

8.5
","1,013,570",$422.78M,family
Toy Story 3,(2010),G,"
Animation, Adventure, Comedy            ","

8.3
","806,082",$415.00M,family
Frozen,(I) (2013),PG,"
Animation, Adventure, Comedy            ","

7.5
","606,634",$400.74M,family
Finding Nemo,(2003),G,"
Animation, Adventure, Comedy            ","

8.2
","1,008,293",$380.84M,family
